batter,runs_batter,wicket_taken,boundary,balls,strike_rate,fantasy_points,batter_encoded,predicted_points
A Badoni,509,27,59,382,133.24607329842934,1420,0,1448.18
A Kamboj,1,0,0,1,100.0,1,1,1.08
A Manohar,171,15,23,132,129.54545454545453,638,2,600.78
A Mishra,15,1,2,15,100.0,48,3,51.96
A Nortje,41,5,5,40,102.49999999999999,186,4,183.22
A Raghuvanshi,153,8,22,101,151.4851485148515,441,5,427.62
A Tomar,4,1,1,4,100.0,33,6,33.24
A Zampa,8,3,0,14,57.14285714285714,83,7,88.68
AA Kulkarni,9,2,2,7,128.57142857142858,67,8,65.48
AB de Villiers,610,21,81,370,164.86486486486487,1459,9,1532.94
AD Russell,862,43,129,545,158.16513761467888,2453,10,2386.96
AF Milne,13,2,1,13,100.0,67,11,66.86
AJ Finch,291,18,41,234,124.35897435897436,905,12,897.44
AJ Hosein,15,0,2,9,166.66666666666669,23,13,23.14
AJ Turner,12,2,1,14,85.71428571428571,66,14,65.94
AJ Tye,6,1,1,4,150.0,35,15,34.78
AK Markram,786,34,93,581,135.28399311531842,2008,16,2049.08
AM Rahane,695,40,92,500,139.0,2063,17,2038.66
AR Patel,708,36,92,499,141.88376753507015,1976,18,2004.96
AS Joseph,9,1,1,12,75.0,38,19,37.92
AS Rajpoot,9,1,1,8,112.5,38,20,37.84
AS Roy,20,3,2,19,105.26315789473684,103,21,106.44
AT Carey,24,2,1,23,104.34782608695652,78,22,81.18
AT Rayudu,839,38,116,573,146.42233856893543,2253,23,2266.36
AU Rashid,19,2,3,14,135.71428571428572,81,24,81.18
Abdul Basith,1,0,0,1,100.0,1,25,1.08
Abdul Samad,474,32,61,322,147.2049689440994,1518,26,1526.94
Abhishek Sharma,1045,53,152,676,154.58579881656803,2978,27,2940.88
Abishek Porel,282,17,39,180,156.66666666666666,863,28,830.84
Akash Deep,19,2,3,12,158.33333333333331,81,29,80.86
Akash Madhwal,4,0,0,5,80.0,4,30,3.66
Aman Hakim Khan,107,9,14,83,128.91566265060243,388,31,392.12
Aniket Verma,7,1,1,3,233.33333333333334,36,32,35.68
Anmolpreet Singh,120,9,19,87,137.93103448275863,421,33,400.92
Anuj Rawat,243,14,31,195,124.61538461538461,717,34,732.74
Arjun Tendulkar,10,1,1,6,166.66666666666669,39,35,38.68
Arshad Khan,81,4,10,54,150.0,221,36,218.58
Arshad Khan (2),5,1,1,4,125.0,34,37,33.94
Arshdeep Singh,29,5,4,33,87.87878787878788,170,38,171.78
Ashutosh Sharma,207,8,29,114,181.57894736842107,523,39,505.96
Atharva Taide,194,8,26,138,140.57971014492753,498,40,531.08
Avesh Khan,30,1,4,18,166.66666666666669,71,41,72.46
Azmatullah Omarzai,52,5,6,38,136.8421052631579,201,42,183.34
B Indrajith,19,3,2,21,90.47619047619048,102,43,106.38
B Kumar,103,11,12,110,93.63636363636364,426,44,415.62
B Sai Sudharsan,893,22,117,601,148.585690515807,1911,45,2047.44
BA Stokes,233,11,35,166,140.36144578313252,648,46,664.68
BR Sharath,2,1,0,4,50.0,27,47,27.16
C Green,569,20,77,353,161.1898016997167,1377,48,1392.44
C Sakariya,19,5,3,23,82.6086956521739,156,49,150.38
CA Lynn,46,2,7,27,170.37037037037038,124,50,119.3
CH Gayle,377,17,53,265,142.2641509433962,1014,51,1049.44
CH Morris,73,9,9,58,125.86206896551724,334,52,324.26
CJ Jordan,62,8,5,61,101.63934426229508,282,53,287.1
CR Woakes,12,0,2,7,171.42857142857142,20,54,19.56
CV Varun,18,2,1,31,58.06451612903226,72,55,93.34
